week,lane,region,mode,carrier,units,spend_usd,on_time_pct,damage_rate_pct,invoice_accuracy_pct,days_to_settle,fuel_share,week_start
4,ICN→SYD,Asia Pacific,Intermodal,Pacific Rail Co,32251,76383.11,92.03,0.429,97.36,41,0.18,2025-03-24
4,SYD→NRT,Asia Pacific,Truckload,Northwind Freight,38367,106570.54,98.23,0.278,97.56,39,0.32,2025-03-24
4,DEL→SIN,Asia Pacific,LTL,Atlas Logistics,16487,83777.13,96.72,0.544,97.33,41,0.28,2025-03-24
4,ICN→SIN,Asia Pacific,Truckload,BlueLine Express,9628,30620.35,90.65,0.641,98.91,40,0.32,2025-03-24
5,LAX→ORD,North America,Truckload,BlueLine Express,14290,46217.42,90.89,0.295,96.78,45,0.32,2025-03-31
5,SEA→ORD,North America,Truckload,Northwind Freight,37944,111782.27,94.58,0.277,96.81,47,0.32,2025-03-31
5,SEA→LAX,North America,LTL,Atlas Logistics,14670,65910.58,94.37,0.276,96.11,39,0.28,2025-03-31
5,EWR→MEM,North America,Truckload,Meridian Carriers,32697,111718.93,93.36,0.509,97.21,39,0.32,2025-03-31
5,DFW→EWR,North America,LTL,Northwind Freight,13009,55927.04,89.78,0.517,98.02,40,0.28,2025-03-31
5,DFW→LAX,North America,LTL,Atlas Logistics,35029,165224.61,93.48,0.309,97.34,45,0.28,2025-03-31
5,ORD→PHX,North America,Air,Skyway Cargo,14183,123397.79,93.08,0.604,98.75,43,0.42,2025-03-31
5,PHX→ATL,North America,LTL,Atlas Logistics,21958,106556.32,94.1,0.614,98.45,38,0.28,2025-03-31
5,MAD→MXP,Europe,Truckload,Meridian Carriers,17658,53189.58,89.41,0.665,96.36,39,0.32,2025-03-31
5,MXP→FRA,Europe,LTL,BlueLine Express,39328,173392.16,95.31,0.418,98.82,39,0.28,2025-03-31
5,FRA→MXP,Europe,Air,Skyway Cargo,18855,180687,98.9,0.522,96.3,46,0.42,2025-03-31
5,AMS→MAD,Europe,Truckload,Northwind Freight,8956,30137.89,92.26,0.186,96.88,38,0.32,2025-03-31
5,WAW→LHR,Europe,Truckload,Atlas Logistics,22072,71656.61,97.08,0.166,98.9,47,0.32,2025-03-31
5,WAW→FRA,Europe,Intermodal,Pacific Rail Co,10792,24754.22,99.3,0.579,96.42,41,0.18,2025-03-31
5,ICN→DEL,Asia Pacific,Truckload,BlueLine Express,42592,147759.92,98.32,0.377,96.28,39,0.32,2025-03-31
5,DEL→SYD,Asia Pacific,Intermodal,Pacific Rail Co,15730,41325.53,89.42,0.487,96.33,45,0.18,2025-03-31
5,NRT→SYD,Asia Pacific,Intermodal,Pacific Rail Co,37714,84927.07,95.49,0.259,96.53,43,0.18,2025-03-31
5,SIN→SYD,Asia Pacific,LTL,Northwind Freight,23275,121274.7,95.32,0.323,97.37,40,0.28,2025-03-31
5,ICN→SYD,Asia Pacific,Intermodal,Pacific Rail Co,28320,69862.83,94.88,0.429,96.04,41,0.18,2025-03-31
5,SYD→NRT,Asia Pacific,Truckload,Northwind Freight,34910,101741.24,95.98,0.344,99.33,38,0.32,2025-03-31
5,DEL→SIN,Asia Pacific,LTL,Atlas Logistics,18285,90362.97,97.3,0.572,96.42,38,0.28,2025-03-31
5,ICN→SIN,Asia Pacific,Truckload,BlueLine Express,9073,31211.81,92.45,0.695,98.49,38,0.32,2025-03-31
6,LAX→ORD,North America,Truckload,BlueLine Express,14154,48169.07,88.21,0.177,99.23,47,0.32,2025-04-07
6,SEA→ORD,North America,Truckload,Northwind Freight,41919,124463.61,97.56,0.277,99.13,39,0.32,2025-04-07
6,SEA→LAX,North America,LTL,Atlas Logistics,14088,64659.14,93.11,0.255,96.2,43,0.28,2025-04-07
6,EWR→MEM,North America,Truckload,Meridian Carriers,29901,107391.51,91.86,0.529,97.93,44,0.32,2025-04-07
6,DFW→EWR,North America,LTL,Northwind Freight,12963,60494.61,91.37,0.623,98.35,41,0.28,2025-04-07
6,DFW→LAX,North America,LTL,Atlas Logistics,32309,152848.17,92.49,0.361,99.06,45,0.28,2025-04-07
6,ORD→PHX,North America,Air,Skyway Cargo,13717,129022.11,91.56,0.615,97.61,44,0.42,2025-04-07
6,PHX→ATL,North America,LTL,Atlas Logistics,19905,96226.91,90.8,0.718,99.36,47,0.28,2025-04-07
6,MAD→MXP,Europe,Truckload,Meridian Carriers,18977,58376.78,90.32,0.735,96.87,42,0.32,2025-04-07
6,MXP→FRA,Europe,LTL,BlueLine Express,35874,161553.91,96.46,0.514,96.23,43,0.28,2025-04-07
6,FRA→MXP,Europe,Air,Skyway Cargo,18141,168402.13,98.59,0.56,96.89,45,0.42,2025-04-07
6,AMS→MAD,Europe,Truckload,Northwind Freight,9234,30552.43,90.2,0.209,97.93,43,0.32,2025-04-07
6,WAW→LHR,Europe,Truckload,Atlas Logistics,21692,74294.83,94.64,0.228,97.46,39,0.32,2025-04-07
6,WAW→FRA,Europe,Intermodal,Pacific Rail Co,12759,29400.45,96.45,0.549,96.05,45,0.18,2025-04-07
6,ICN→DEL,Asia Pacific,Truckload,BlueLine Express,43267,152440.33,99.5,0.379,97.13,46,0.32,2025-04-07
6,DEL→SYD,Asia Pacific,Intermodal,Pacific Rail Co,13776,34556.63,92.02,0.383,97.16,44,0.18,2025-04-07
6,NRT→SYD,Asia Pacific,Intermodal,Pacific Rail Co,36948,79363.01,95.27,0.291,98.37,41,0.18,2025-04-07
6,SIN→SYD,Asia Pacific,LTL,Northwind Freight,21155,106085.87,96.31,0.421,98.15,42,0.28,2025-04-07
6,ICN→SYD,Asia Pacific,Intermodal,Pacific Rail Co,34342,82002.57,94.87,0.359,97.29,45,0.18,2025-04-07
6,SYD→NRT,Asia Pacific,Truckload,Northwind Freight,35191,98986.94,97.74,0.231,97.06,38,0.32,2025-04-07
6,DEL→SIN,Asia Pacific,LTL,Atlas Logistics,16564,79563.88,95.88,0.592,97.79,43,0.28,2025-04-07
6,ICN→SIN,Asia Pacific,Truckload,BlueLine Express,9021,30559.81,91.26,0.691,99.06,44,0.32,2025-04-07
7,LAX→ORD,North America,Truckload,BlueLine Express,16556,56388.56,89.55,0.31,96.29,44,0.32,2025-04-14
7,SEA→ORD,North America,Truckload,Northwind Freight,41021,121353.04,94.64,0.271,99.2,41,0.32,2025-04-14
7,SEA→LAX,North America,LTL,Atlas Logistics,14514,69155.64,93.77,0.24,99.42,43,0.28,2025-04-14
7,EWR→MEM,North America,Truckload,Meridian Carriers,33336,115409.11,94.65,0.622,97.83,40,0.32,2025-04-14
7,DFW→EWR,North America,LTL,Northwind Freight,15240,68619.74,89.81,0.533,98.23,44,0.28,2025-04-14
7,DFW→LAX,North America,LTL,Atlas Logistics,33328,150958.04,93.17,0.351,97.06,39,0.28,2025-04-14
7,ORD→PHX,North America,Air,Skyway Cargo,14157,125080.68,92.82,0.545,98.03,43,0.42,2025-04-14
7,PHX→ATL,North America,LTL,Atlas Logistics,20801,102156.74,91.75,0.655,97.4,39,0.28,2025-04-14
7,MAD→MXP,Europe,Truckload,Meridian Carriers,19950,60864.73,89.22,0.732,97.61,39,0.32,2025-04-14
7,MXP→FRA,Europe,LTL,BlueLine Express,36444,160716.28,95.49,0.469,97.22,44,0.28,2025-04-14
7,FRA→MXP,Europe,Air,Skyway Cargo,18663,177770.24,95.66,0.582,97.71,39,0.42,2025-04-14
7,AMS→MAD,Europe,Truckload,Northwind Freight,8451,28858.34,89.35,0.225,98.39,46,0.32,2025-04-14
7,WAW→LHR,Europe,Truckload,Atlas Logistics,22520,76425.71,94.31,0.298,97.27,46,0.32,2025-04-14
7,WAW→FRA,Europe,Intermodal,Pacific Rail Co,12986,30263.27,97.22,0.626,97.98,39,0.18,2025-04-14
7,ICN→DEL,Asia Pacific,Truckload,BlueLine Express,47026,160417.63,98.64,0.361,96.13,45,0.32,2025-04-14
7,DEL→SYD,Asia Pacific,Intermodal,Pacific Rail Co,14313,36503.03,90.84,0.504,99.2,42,0.18,2025-04-14
7,NRT→SYD,Asia Pacific,Intermodal,Pacific Rail Co,41692,89911.74,97.22,0.287,99.31,46,0.18,2025-04-14
7,SIN→SYD,Asia Pacific,LTL,Northwind Freight,21068,110967.32,96.98,0.398,98.67,39,0.28,2025-04-14
7,ICN→SYD,Asia Pacific,Intermodal,Pacific Rail Co,31735,77518.03,92.24,0.46,97.96,45,0.18,2025-04-14
7,SYD→NRT,Asia Pacific,Truckload,Northwind Freight,40030,118084.51,96.72,0.337,98.93,45,0.32,2025-04-14
7,DEL→SIN,Asia Pacific,LTL,Atlas Logistics,17359,85620.28,93.94,0.627,97.21,46,0.28,2025-04-14
7,ICN→SIN,Asia Pacific,Truckload,BlueLine Express,9365,30262.47,90.66,0.7,97.98,38,0.32,2025-04-14
8,LAX→ORD,North America,Truckload,BlueLine Express,16194,55505.22,91.75,0.181,97.85,44,0.32,2025-04-21
8,SEA→ORD,North America,Truckload,Northwind Freight,40831,126727.29,96.62,0.179,96.2,43,0.32,2025-04-21
8,SEA→LAX,North America,LTL,Atlas Logistics,16826,76924.08,96.1,0.229,96.9,39,0.28,2025-04-21
8,EWR→MEM,North America,Truckload,Meridian Carriers,32742,113832.66,94.15,0.614,98.48,41,0.32,2025-04-21
8,DFW→EWR,North America,LTL,Northwind Freight,14472,66745.17,90.5,0.589,99.5,43,0.28,2025-04-21
8,DFW→LAX,North America,LTL,Atlas Logistics,38011,171157.69,92.68,0.356,97.77,38,0.28,2025-04-21
8,ORD→PHX,North America,Air,Skyway Cargo,12667,119991.71,90.71,0.554,97.11,42,0.42,2025-04-21
8,PHX→ATL,North America,LTL,Atlas Logistics,22716,112870.04,92.99,0.714,96.61,40,0.28,2025-04-21
8,MAD→MXP,Europe,Truckload,Meridian Carriers,20633,62672.52,90.98,0.712,97.31,44,0.32,2025-04-21
8,MXP→FRA,Europe,LTL,BlueLine Express,37435,165942.73,93.82,0.404,98.54,39,0.28,2025-04-21
8,FRA→MXP,Europe,Air,Skyway Cargo,20481,193974.67,99.32,0.475,98.65,43,0.42,2025-04-21
8,AMS→MAD,Europe,Truckload,Northwind Freight,9078,29071.77,91.74,0.205,96.38,40,0.32,2025-04-21
8,WAW→LHR,Europe,Truckload,Atlas Logistics,24237,80865.61,95.32,0.188,97.73,42,0.32,2025-04-21
8,WAW→FRA,Europe,Intermodal,Pacific Rail Co,11946,27225.89,99.5,0.582,99.31,45,0.18,2025-04-21
8,ICN→DEL,Asia Pacific,Truckload,BlueLine Express,43873,159489.79,95.81,0.397,97.36,38,0.32,2025-04-21
8,DEL→SYD,Asia Pacific,Intermodal,Pacific Rail Co,16186,42791.39,89.11,0.371,98.07,46,0.18,2025-04-21
8,NRT→SYD,Asia Pacific,Intermodal,Pacific Rail Co,42233,94633.91,98.83,0.178,99.5,47,0.18,2025-04-21
8,SIN→SYD,Asia Pacific,LTL,Northwind Freight,24031,128226.42,95.02,0.413,96.02,45,0.28,2025-04-21
8,ICN→SYD,Asia Pacific,Intermodal,Pacific Rail Co,34521,83641.85,93.66,0.445,99.15,47,0.18,2025-04-21
8,SYD→NRT,Asia Pacific,Truckload,Northwind Freight,40092,116400.42,98.18,0.291,96.63,39,0.32,2025-04-21
8,DEL→SIN,Asia Pacific,LTL,Atlas Logistics,17267,82781.68,97.07,0.551,96.21,42,0.28,2025-04-21
8,ICN→SIN,Asia Pacific,Truckload,BlueLine Express,9736,32971.79,91.79,0.605,96.22,47,0.32,2025-04-21
9,LAX→ORD,North America,Truckload,BlueLine Express,16138,53559.06,91.53,0.17,97.64,39,0.32,2025-04-28
9,SEA→ORD,North America,Truckload,Northwind Freight,41965,125372,94.43,0.268,97.02,43,0.32,2025-04-28
9,SEA→LAX,North America,LTL,Atlas Logistics,14814,67633.77,94.53,0.264,97.28,44,0.28,2025-04-28
9,EWR→MEM,North America,Truckload,Meridian Carriers,32475,116096.08,91.8,0.502,96.42,42,0.32,2025-04-28
9,DFW→EWR,North America,LTL,Northwind Freight,14558,65512.14,89.36,0.591,98.35,41,0.28,2025-04-28
9,DFW→LAX,North America,LTL,Atlas Logistics,36531,167911.96,90.87,0.326,97.34,45,0.28,2025-04-28
9,ORD→PHX,North America,Air,Skyway Cargo,13998,125816.77,93.31,0.61,97.66,43,0.42,2025-04-28
9,PHX→ATL,North America,LTL,Atlas Logistics,19854,94993.54,91.22,0.664,97.3,40,0.28,2025-04-28
9,MAD→MXP,Europe,Truckload,Meridian Carriers,20323,62188.37,90.36,0.74,98.53,43,0.32,2025-04-28
9,MXP→FRA,Europe,LTL,BlueLine Express,38261,165649.04,96.29,0.395,99.34,43,0.28,2025-04-28
9,FRA→MXP,Europe,Air,Skyway Cargo,20488,191066.37,97.06,0.509,97.5,47,0.42,2025-04-28
9,AMS→MAD,Europe,Truckload,Northwind Freight,9067,29040.81,91.68,0.178,97.23,41,0.32,2025-04-28
9,WAW→LHR,Europe,Truckload,Atlas Logistics,22106,75905.28,94.37,0.222,96.07,46,0.32,2025-04-28
9,WAW→FRA,Europe,Intermodal,Pacific Rail Co,11448,25301.94,98.83,0.556,97.24,38,0.18,2025-04-28
9,ICN→DEL,Asia Pacific,Truckload,BlueLine Express,48260,173089,97.67,0.45,98.51,41,0.32,2025-04-28
9,DEL→SYD,Asia Pacific,Intermodal,Pacific Rail Co,15387,40690.86,89.18,0.414,99.2,41,0.18,2025-04-28
9,NRT→SYD,Asia Pacific,Intermodal,Pacific Rail Co,44480,102329.35,98.28,0.322,99.49,39,0.18,2025-04-28
9,SIN→SYD,Asia Pacific,LTL,Northwind Freight,25847,132656.86,97.21,0.422,97.42,47,0.28,2025-04-28
9,ICN→SYD,Asia Pacific,Intermodal,Pacific Rail Co,33982,84222.45,95.47,0.356,97.92,46,0.18,2025-04-28
9,SYD→NRT,Asia Pacific,Truckload,Northwind Freight,40819,121838.95,96.25,0.307,99.48,41,0.32,2025-04-28
9,DEL→SIN,Asia Pacific,LTL,Atlas Logistics,17336,88061.83,93.96,0.639,97.05,39,0.28,2025-04-28
9,ICN→SIN,Asia Pacific,Truckload,BlueLine Express,10461,34231.3,92.78,0.705,98.96,42,0.32,2025-04-28
10,LAX→ORD,North America,Truckload,BlueLine Express,16470,52779.95,89.64,0.17,97.42,44,0.32,2025-05-05
10,SEA→ORD,North America,Truckload,Northwind Freight,42928,126239.13,95.85,0.252,96.74,46,0.32,2025-05-05
10,SEA→LAX,North America,LTL,Atlas Logistics,15290,67751.15,95.83,0.276,96.92,39,0.28,2025-05-05
10,EWR→MEM,North America,Truckload,Meridian Carriers,35904,123558.87,93.99,0.595,97.96,39,0.32,2025-05-05
10,DFW→EWR,North America,LTL,Northwind Freight,15088,66556.83,91.17,0.521,99.34,40,0.28,2025-05-05
10,DFW→LAX,North America,LTL,Atlas Logistics,36976,176968.8,90.34,0.315,96.97,46,0.28,2025-05-05
10,ORD→PHX,North America,Air,Skyway Cargo,15214,140273.56,92.39,0.533,98.48,43,0.42,2025-05-05
10,PHX→ATL,North America,LTL,Atlas Logistics,19748,97794.27,91.77,0.738,98.31,46,0.28,2025-05-05
10,MAD→MXP,Europe,Truckload,Meridian Carriers,20600,65994.09,89.75,0.747,96.81,40,0.32,2025-05-05
10,MXP→FRA,Europe,LTL,BlueLine Express,39270,172364.59,93.67,0.427,96.68,40,0.28,2025-05-05
10,FRA→MXP,Europe,Air,Skyway Cargo,20657,201923.6,97.08,0.551,96.16,39,0.42,2025-05-05
10,AMS→MAD,Europe,Truckload,Northwind Freight,8486,28428.73,90.72,0.183,97.2,42,0.32,2025-05-05
10,WAW→LHR,Europe,Truckload,Atlas Logistics,21784,72566.01,96.02,0.229,96.57,39,0.32,2025-05-05
10,WAW→FRA,Europe,Intermodal,Pacific Rail Co,11847,27325.26,96.75,0.649,97.1,44,0.18,2025-05-05
10,ICN→DEL,Asia Pacific,Truckload,BlueLine Express,43714,151169.52,97.81,0.408,98.49,43,0.32,2025-05-05
10,DEL→SYD,Asia Pacific,Intermodal,Pacific Rail Co,16570,41045.89,89.9,0.374,98.06,44,0.18,2025-05-05
10,NRT→SYD,Asia Pacific,Intermodal,Pacific Rail Co,41704,91194.21,98.83,0.226,97.38,45,0.18,2025-05-05
10,SIN→SYD,Asia Pacific,LTL,Northwind Freight,22947,114544.51,96.58,0.414,96.51,45,0.28,2025-05-05
10,ICN→SYD,Asia Pacific,Intermodal,Pacific Rail Co,32069,79988.39,96.02,0.382,99.06,45,0.18,2025-05-05
10,SYD→NRT,Asia Pacific,Truckload,Northwind Freight,40116,115016.37,96.86,0.229,98.25,46,0.32,2025-05-05
10,DEL→SIN,Asia Pacific,LTL,Atlas Logistics,18722,97048.82,96.05,0.637,97.49,44,0.28,2025-05-05
10,ICN→SIN,Asia Pacific,Truckload,BlueLine Express,10712,35957.54,90.23,0.709,96.12,40,0.32,2025-05-05
11,LAX→ORD,North America,Truckload,BlueLine Express,15898,53024.95,92.03,0.242,97.75,39,0.32,2025-05-12
11,SEA→ORD,North America,Truckload,Northwind Freight,47163,143358.63,97.38,0.266,97.22,42,0.32,2025-05-12
11,SEA→LAX,North America,LTL,Atlas Logistics,17961,85575.84,95.05,0.266,96.19,46,0.28,2025-05-12
11,EWR→MEM,North America,Truckload,Meridian Carriers,32148,112972.87,93.11,0.569,98.19,39,0.32,2025-05-12
11,DFW→EWR,North America,LTL,Northwind Freight,15935,71281.73,88.78,0.562,98.47,39,0.28,2025-05-12
