quarter,facility,service_line,gross_charges_musd,net_revenue_musd,contribution_musd,operating_expense_musd,bad_debt_musd,medicare_share,medicaid_share,commercial_share,selfpay_share,other_share,days_in_ar,readmission_pct,hcahps_topbox_pct,infection_index,mortality_pct,avg_los_days
Q4 FY25,Delaware Valley,Orthopedics,21.623,7.703,2.055,6.88,0.512,0.3708,0.1964,0.3294,0.0579,0.0454,49,15.02,71.1,1.211,2.69,5.07
Q4 FY25,Delaware Valley,Oncology,22.292,8.088,1.967,7.415,0.716,0.3828,0.1838,0.3455,0.0453,0.0427,47,17.07,72.7,0.836,2.71,5.84
Q4 FY25,Delaware Valley,Emergency,16.571,5.92,0.319,6.548,0.532,0.4023,0.1849,0.3243,0.0498,0.0387,54,17.39,68.7,1.112,2.77,4.36
Q4 FY25,Delaware Valley,Maternity,10.565,3.711,0.379,3.926,0.246,0.4163,0.2033,0.2997,0.0466,0.0341,47,11.85,69.7,1.057,2.93,5.23
Q4 FY25,Delaware Valley,General surgery,15.789,5.72,1.093,5.542,0.512,0.3815,0.1822,0.3478,0.0502,0.0383,50,18.23,68.9,1.177,2.75,5.26
Q4 FY25,Chenango Memorial,Cardiology,19.356,6.785,2.046,5.824,0.385,0.4683,0.171,0.2824,0.0433,0.0351,50,15.34,77.3,1.3,2.25,5.62
Q4 FY25,Chenango Memorial,Orthopedics,15.342,5.525,1.685,4.724,0.279,0.4128,0.1637,0.3353,0.0538,0.0344,54,18.11,71.1,1.231,3.34,4.29
Q4 FY25,Chenango Memorial,Oncology,18.312,6.605,1.414,6.248,0.397,0.3821,0.1815,0.3446,0.0549,0.0369,52,15.09,79.3,0.72,3.37,6.15
Q4 FY25,Chenango Memorial,Emergency,13.194,4.727,0.283,5.201,0.28,0.3934,0.1762,0.3311,0.056,0.0432,50,15.03,70,1.073,2.26,4.87
Q4 FY25,Chenango Memorial,Maternity,8.579,2.972,0.267,3.181,0.262,0.4568,0.1791,0.2732,0.0523,0.0386,53,11.46,79.6,1.225,2.27,4.27
Q4 FY25,Chenango Memorial,General surgery,13.063,4.675,0.894,4.529,0.265,0.3609,0.2085,0.3391,0.0539,0.0376,54,16.22,69.2,1.227,2.54,5.36
Q1 FY26,Wilson Medical Center,Cardiology,63.004,21.839,5.89,19.443,1.447,0.4626,0.1764,0.2677,0.0477,0.0456,50,15.46,71.3,1.277,2.2,5.36
Q1 FY26,Wilson Medical Center,Orthopedics,54.061,18.59,5.165,16.4,1.437,0.4586,0.1809,0.2635,0.0551,0.0419,45,14.79,78,1.04,2.48,5.64
Q1 FY26,Wilson Medical Center,Oncology,63.01,22.679,4.638,21.67,1.776,0.4081,0.1757,0.3315,0.0468,0.0379,49,18.25,69.5,1.216,3.11,6.17
Q1 FY26,Wilson Medical Center,Emergency,49.1,17.332,0.786,19.319,1.24,0.4197,0.1881,0.3017,0.0471,0.0434,55,14.79,75.2,0.927,3.29,4.52
Q1 FY26,Wilson Medical Center,Maternity,28.783,10.314,0.913,11.052,0.9,0.4275,0.1757,0.3216,0.043,0.0323,54,12.38,74.6,0.919,2.35,5.07
Q1 FY26,Wilson Medical Center,General surgery,43.545,15.306,2.454,15.301,1.147,0.4238,0.1985,0.2985,0.0454,0.0339,50,17.85,74.8,0.753,3.47,5.57
Q1 FY26,Binghamton General,Cardiology,45.697,16.172,5.005,13.755,1.057,0.409,0.1926,0.309,0.0482,0.0413,51,18.49,75.3,0.711,2.77,4.91
Q1 FY26,Binghamton General,Orthopedics,39.302,13.99,3.718,12.51,1.233,0.4104,0.1755,0.3199,0.0553,0.0388,50,17.24,79,0.845,2.51,4.54
Q1 FY26,Binghamton General,Oncology,42.792,15.165,2.546,15.045,1.213,0.428,0.1769,0.3041,0.0467,0.0443,45,17.74,74.8,1.037,3.21,6.93
Q1 FY26,Binghamton General,Emergency,32.522,11.716,0.475,13.115,0.847,0.4095,0.1804,0.3292,0.0413,0.0396,45,18.29,70.2,0.914,3.4,5.6
Q1 FY26,Binghamton General,Maternity,19.78,6.881,0.631,7.351,0.415,0.4487,0.184,0.2781,0.0488,0.0404,55,9.49,73,0.726,3.15,5.17
Q1 FY26,Binghamton General,General surgery,27.863,9.64,1.594,9.588,0.648,0.4537,0.1751,0.2722,0.056,0.0429,49,17.21,75.5,1.3,2.21,5.09
Q1 FY26,Delaware Valley,Cardiology,25.474,9.167,2.782,7.852,0.805,0.4106,0.1723,0.332,0.0488,0.0363,45,14.64,78.9,1.038,2.87,4.58
Q1 FY26,Delaware Valley,Orthopedics,20.598,7.395,1.652,6.926,0.397,0.4148,0.1768,0.327,0.0459,0.0354,47,15.01,76.4,0.893,2.45,5.2
Q1 FY26,Delaware Valley,Oncology,22.179,7.881,1.651,7.491,0.391,0.3732,0.1994,0.3294,0.06,0.038,51,16.01,68.5,1.24,3.48,6.12
Q1 FY26,Delaware Valley,Emergency,18.24,6.534,0.252,7.328,0.543,0.4325,0.1625,0.3172,0.0458,0.042,46,16.79,77.8,1.272,2.73,5.18
Q1 FY26,Delaware Valley,Maternity,10.753,3.703,0.274,4.021,0.2,0.3836,0.2303,0.2879,0.0605,0.0377,45,10.38,75.9,0.996,3.02,4.98
Q1 FY26,Delaware Valley,General surgery,17.164,6.114,0.964,6.128,0.533,0.4013,0.1873,0.3241,0.0533,0.0341,45,15.02,69.6,0.896,2.95,4.4
Q1 FY26,Chenango Memorial,Cardiology,18.07,6.505,1.589,5.956,0.458,0.4207,0.1706,0.3278,0.0442,0.0367,49,15.35,75.1,1.014,3.31,5.43
Q1 FY26,Chenango Memorial,Orthopedics,16.431,5.716,1.288,5.343,0.421,0.437,0.1842,0.2812,0.0528,0.0447,55,16.95,79.6,1.193,3.49,5.68
Q1 FY26,Chenango Memorial,Oncology,16.49,5.78,1.057,5.648,0.531,0.4338,0.19,0.2915,0.047,0.0378,54,17.73,73.6,0.741,2.29,6.3
Q1 FY26,Chenango Memorial,Emergency,13.616,4.784,0.161,5.389,0.272,0.4059,0.1828,0.3043,0.061,0.046,46,17.02,68.3,0.883,2.92,4.42
Q1 FY26,Chenango Memorial,Maternity,8.716,3.051,0.211,3.328,0.213,0.4365,0.1814,0.2884,0.0502,0.0435,52,8.72,70.8,1.048,2.38,4.67
Q1 FY26,Chenango Memorial,General surgery,12.086,4.309,0.835,4.164,0.257,0.42,0.1864,0.3153,0.0424,0.036,53,16.19,76,1.279,2.68,5.56
Q2 FY26,Wilson Medical Center,Cardiology,72.728,25.299,7.583,21.765,2.299,0.4328,0.1885,0.2823,0.0526,0.0438,53,16.38,78.4,0.789,3.41,4.49
Q2 FY26,Wilson Medical Center,Orthopedics,62.56,22.407,5.288,20.704,1.785,0.4228,0.172,0.3239,0.0482,0.0332,52,15.17,77.7,1.011,2.74,5.09
Q2 FY26,Wilson Medical Center,Oncology,59.614,20.906,4.19,20.061,1.288,0.3817,0.2241,0.3023,0.0468,0.0451,44,16.86,79.4,0.882,3.05,6.6
Q2 FY26,Wilson Medical Center,Emergency,46.659,16.353,1.083,17.887,1.241,0.4269,0.2037,0.2924,0.0424,0.0348,51,17.46,69.8,0.797,3.07,4.55
Q2 FY26,Wilson Medical Center,Maternity,28.756,10.187,1.059,10.758,0.85,0.4222,0.1874,0.3061,0.0447,0.0395,55,8.71,79.5,0.902,3.2,4.44
Q2 FY26,Wilson Medical Center,General surgery,44.868,15.866,2.57,15.834,1.218,0.4069,0.19,0.3115,0.0529,0.0388,56,15.16,79.7,1.225,2.38,5.64
Q2 FY26,Binghamton General,Cardiology,44.42,15.898,5.104,13.338,0.806,0.4232,0.1787,0.3208,0.0437,0.0336,48,15.9,75.1,0.921,2.7,4.24
Q2 FY26,Binghamton General,Orthopedics,43.612,15.378,4.25,13.588,0.971,0.4092,0.1824,0.3101,0.0595,0.0388,42,15.4,75.1,1.267,2.85,4.46
Q2 FY26,Binghamton General,Oncology,44.783,16.067,3.488,15.149,0.911,0.3776,0.1973,0.3323,0.0475,0.0453,49,15.76,72.4,1.093,3.44,6.97
Q2 FY26,Binghamton General,Emergency,31.437,11.518,0.768,12.593,0.67,0.3756,0.1725,0.3592,0.0464,0.0463,53,14.53,69.3,1.178,3.26,5.57
Q2 FY26,Binghamton General,Maternity,21.444,7.493,0.768,7.924,0.539,0.4221,0.1917,0.2916,0.053,0.0417,51,11.49,71.6,1.214,2.64,5.02
Q2 FY26,Binghamton General,General surgery,31.421,11.061,1.851,10.981,0.957,0.3702,0.2166,0.3152,0.0562,0.0418,45,15.72,71.7,1.01,2.26,5.59
Q2 FY26,Delaware Valley,Cardiology,23.963,8.497,2.942,6.914,0.686,0.4325,0.1818,0.3057,0.0438,0.0361,52,17.51,74.6,0.865,3.14,5.38
Q2 FY26,Delaware Valley,Orthopedics,22.742,8.039,2.378,6.948,0.738,0.4028,0.1901,0.3122,0.0546,0.0403,49,15.2,75.6,1.095,2.22,5.65
Q2 FY26,Delaware Valley,Oncology,25.051,9.062,2.251,8.261,0.473,0.3549,0.2054,0.3543,0.0509,0.0346,52,17.18,70,0.857,2.72,6.75
Q2 FY26,Delaware Valley,Emergency,17.534,6.135,0.385,6.732,0.498,0.4001,0.2104,0.2962,0.0491,0.0442,45,14.87,75.8,0.823,2.3,5.06
Q2 FY26,Delaware Valley,Maternity,10.827,3.805,0.411,4.003,0.266,0.4268,0.2032,0.2956,0.0408,0.0336,44,11.33,72.7,0.889,3.24,5.57
Q2 FY26,Delaware Valley,General surgery,15.648,5.598,0.984,5.51,0.424,0.4099,0.1941,0.3216,0.04,0.0345,52,16.29,73.3,1.171,2.67,5.75
Q2 FY26,Chenango Memorial,Cardiology,20.391,7.326,2.124,6.374,0.361,0.4199,0.1679,0.3276,0.0485,0.036,43,16.98,70.7,1.041,2.77,5.39
Q2 FY26,Chenango Memorial,Orthopedics,16.469,5.89,1.541,5.291,0.338,0.399,0.178,0.3287,0.0553,0.039,50,16.02,78,1.001,2.44,4.65
Q2 FY26,Chenango Memorial,Oncology,17.93,6.369,1.305,6.082,0.347,0.4524,0.1636,0.302,0.0436,0.0383,50,14.74,69,1.113,2.58,6.31
Q2 FY26,Chenango Memorial,Emergency,13.482,4.805,0.3,5.274,0.262,0.3979,0.1799,0.3221,0.055,0.0451,46,15.17,72.4,0.705,2.39,4.42
Q2 FY26,Chenango Memorial,Maternity,8.116,2.885,0.292,3.055,0.197,0.391,0.2011,0.3209,0.0493,0.0377,55,10.3,77.7,0.932,2.3,4.29
Q2 FY26,Chenango Memorial,General surgery,12.17,4.231,0.907,4.001,0.354,0.4309,0.2063,0.2813,0.0446,0.0369,43,17.2,74,1.088,3.03,4.45
Q3 FY26,Wilson Medical Center,Cardiology,72.07,25.607,8.801,20.903,1.963,0.3997,0.1946,0.3168,0.0485,0.0404,42,16.43,72.8,0.723,2.1,4.69
Q3 FY26,Wilson Medical Center,Orthopedics,58.19,20.531,4.984,18.832,1.891,0.4016,0.1967,0.3102,0.0531,0.0384,47,16.77,72.4,1.18,2.75,4.98
Q3 FY26,Wilson Medical Center,Oncology,60.116,20.706,4.751,19.268,1.758,0.4326,0.2006,0.271,0.0533,0.0425,53,17.01,69.9,0.796,2.73,5.67
Q3 FY26,Wilson Medical Center,Emergency,51.128,17.795,1.085,19.557,0.933,0.4255,0.1926,0.2848,0.0529,0.0442,42,15.74,69.2,1.173,2.48,4.61
Q3 FY26,Wilson Medical Center,Maternity,28.503,10.154,0.991,10.788,0.803,0.3765,0.2132,0.3269,0.047,0.0365,46,9.43,70.4,1.124,3.08,4.71
Q3 FY26,Wilson Medical Center,General surgery,46.529,16.266,2.816,16.052,1.052,0.4345,0.1809,0.287,0.0519,0.0458,47,15.12,75.2,1.267,3.01,5.7
Q3 FY26,Binghamton General,Cardiology,51.124,18.507,6.089,15.379,1.567,0.4041,0.1762,0.3385,0.0435,0.0378,42,14.84,72.6,0.957,2.45,5.11
Q3 FY26,Binghamton General,Orthopedics,39.143,13.692,3.616,12.266,0.836,0.4271,0.178,0.2938,0.0587,0.0424,49,16.96,69.6,1.118,3.31,5.52
Q3 FY26,Binghamton General,Oncology,43.566,15.342,3.658,14.138,0.929,0.4285,0.1872,0.2973,0.0463,0.0407,51,16.69,71.5,1.172,2.34,6.54
Q3 FY26,Binghamton General,Emergency,34.002,12.217,0.75,13.421,0.756,0.4198,0.1611,0.3313,0.0544,0.0334,49,15.17,71.6,1.179,3.46,4.42
Q3 FY26,Binghamton General,Maternity,22.006,7.894,0.765,8.392,0.533,0.3803,0.1904,0.3334,0.0513,0.0446,41,10.99,76.2,0.787,2.72,5.07
Q3 FY26,Binghamton General,General surgery,31.291,10.814,2.034,10.511,0.692,0.4272,0.1979,0.2779,0.0555,0.0415,52,15.08,69.6,0.725,3.25,4.94
Q3 FY26,Delaware Valley,Cardiology,25.306,9.01,2.827,7.625,0.501,0.4051,0.1912,0.3178,0.0466,0.0393,52,16.75,75,0.836,2.64,5.13
Q3 FY26,Delaware Valley,Orthopedics,23.055,8.053,2.266,7.076,0.497,0.4357,0.1844,0.2889,0.0526,0.0384,42,14.83,73.2,0.753,3.31,4.99
Q3 FY26,Delaware Valley,Oncology,23.281,8.277,1.922,7.68,0.577,0.3884,0.1961,0.3228,0.0533,0.0394,47,17.98,79.5,0.745,2.13,5.84
Q3 FY26,Delaware Valley,Emergency,17.407,6.28,0.331,6.954,0.414,0.3991,0.181,0.3374,0.0467,0.0358,43,18.4,74.4,0.845,2.11,4.85
Q3 FY26,Delaware Valley,Maternity,11.926,4.226,0.385,4.518,0.371,0.3945,0.2002,0.3177,0.0516,0.0361,43,11.77,74.9,0.701,3.16,4.69
Q3 FY26,Delaware Valley,General surgery,15.924,5.479,0.941,5.415,0.368,0.4521,0.1961,0.2618,0.0468,0.0432,53,15.29,70.4,0.881,3.31,4.49
Q3 FY26,Chenango Memorial,Cardiology,20.046,7.215,2.481,5.889,0.568,0.4185,0.1711,0.328,0.0446,0.0379,45,17.8,75.8,0.848,3.44,4.39
Q3 FY26,Chenango Memorial,Orthopedics,17.541,6.201,1.821,5.372,0.386,0.4195,0.1959,0.3036,0.0423,0.0386,52,14.77,71.5,1.214,2.23,5.53
Q3 FY26,Chenango Memorial,Oncology,18.176,6.234,1.411,5.82,0.429,0.4391,0.2074,0.2648,0.0508,0.0379,54,15.78,69.5,0.909,2.3,5.83
Q3 FY26,Chenango Memorial,Emergency,15.003,5.193,0.276,5.747,0.451,0.4194,0.2002,0.2791,0.0546,0.0467,45,15.59,72.2,1.061,3.2,4.63
Q3 FY26,Chenango Memorial,Maternity,8.581,3.008,0.338,3.152,0.175,0.4187,0.2021,0.2938,0.0453,0.0401,42,12.24,79.5,0.974,3.33,5.75
Q3 FY26,Chenango Memorial,General surgery,11.986,4.169,0.786,4.051,0.37,0.4213,0.2037,0.288,0.0516,0.0354,47,17.21,72.3,1.04,2.17,4.63
